Component,Heat of Formation [cal/mol],Temperature [K]
CELL,-246584.00000000003,298.15
HCE,-188496.99999999997,298.15
LIGC,-189011.00000000003,298.15
LIGH,-415929.0,298.15
LIGO,-455398.0,298.15
CH4,-17900.110908668277,298.15
CO,-26420.021848780681,298.15
CO2,-94060.375833862941,298.15
H2,0.58504035966611989,298.15
H2O,-57802.65491366262,298.15
O2,-0.20262139602897386,298.15
N2,0.3415146136174545,298.15
AR,-0.00019872041367171211,298.15
C2H6,-20043.052979567557,298.15
C2H4,12539.368136457188,298.15
C2H2,54199.381756314258,298.15
C3H8,-24821.941080255358,298.15
C3H6,4888.8253124142184,298.15
C6H6,19814.744515689632,298.15
C10H8,35993.697869914009,298.15
